title,year,category,expected_pattern,note
The Big Lebowski,1998,cult_classic,low_exposure_high_persistence,Modest box office; enormous lasting quotability and meme footprint
Donnie Darko,2001,cult_classic,low_exposure_high_persistence,Box office disappointment; sustained cult discussion
Fight Club,1999,cult_classic,low_exposure_high_persistence,Underperformed theatrically; massive cultural/meme afterlife
Office Space,1999,cult_classic,low_exposure_high_persistence,Flop on release; perennial workplace meme source
Blade Runner,1982,cult_classic,low_exposure_high_persistence,Initial bomb; canonical sci-fi (Trends pre-2004 flag likely)
The Thing,1982,cult_classic,low_exposure_high_persistence,Bombed on release; now horror classic
The Shawshank Redemption,1994,cult_classic,low_exposure_high_persistence,Box office disappointment; top IMDb list staple
Scott Pilgrim vs. the World,2010,cult_classic,low_exposure_high_persistence,Commercial flop; strong gamer/meme cult
Clerks,1994,low_budget_hit,low_exposure_high_persistence,Micro-budget (~$27k); launched a cult franchise
Pi,1998,low_budget_hit,low_exposure_high_persistence,Micro-budget Aronofsky debut; cult
Memento,2000,low_budget_hit,low_exposure_high_persistence,Low budget; huge critical/cultural footprint
Primer,2004,low_budget_hit,low_exposure_high_persistence,~$7k budget; time-travel cult object
Moon,2009,low_budget_hit,low_exposure_high_persistence,Low budget; sustained sci-fi cult
The Man from Earth,2007,low_budget_hit,low_exposure_high_persistence,Micro-budget; word-of-mouth cult
Coherence,2013,low_budget_hit,low_exposure_high_persistence,Micro-budget; cult sci-fi
Napoleon Dynamite,2004,cult_classic,low_exposure_high_persistence,Low budget; quote/meme machine
Mean Girls,2004,cult_classic,low_exposure_high_persistence,Modest gross; dominant meme/quote footprint
American Psycho,2000,cult_classic,low_exposure_high_persistence,Modest box office; huge meme afterlife
Heathers,1988,cult_classic,low_exposure_high_persistence,Flop; enduring cult
Wet Hot American Summer,2001,cult_classic,low_exposure_high_persistence,Flop; cult comedy
Idiocracy,2006,cult_classic,low_exposure_high_persistence,Barely released; political meme staple
The Boondock Saints,1999,cult_classic,low_exposure_high_persistence,Tiny theatrical run; home-video cult
The Room,2003,cult_classic,low_exposure_high_persistence,So-bad-its-good; midnight-screening cult
The Princess Bride,1987,cult_classic,low_exposure_high_persistence,Modest box office; endlessly quoted
Labyrinth,1986,cult_classic,low_exposure_high_persistence,Flop; durable cult
The Dark Crystal,1982,cult_classic,low_exposure_high_persistence,Underperformed; cult fantasy
Tron,1982,cult_classic,low_exposure_high_persistence,Modest; aesthetic cult/franchise seed
Willy Wonka & the Chocolate Factory,1971,cult_classic,low_exposure_high_persistence,Flop initially; meme/quote classic
Fear and Loathing in Las Vegas,1998,cult_classic,low_exposure_high_persistence,Flop; durable cult/meme
Bring It On,2000,cult_classic,low_exposure_high_persistence,Modest; quotable teen cult
Jennifer's Body,2009,cult_classic,low_exposure_high_persistence,Flop; later feminist reappraisal cult
Hocus Pocus,1993,cult_classic,low_exposure_high_persistence,Underperformed; seasonal cult
The Iron Giant,1999,cult_classic,low_exposure_high_persistence,Box office bomb; beloved animation
Treasure Planet,2002,commercial_flop,high_budget_low_return,Major Disney bomb; modest cult
Children of Men,2006,cult_classic,low_exposure_high_persistence,Underperformed; acclaimed and quoted
Snatch,2000,cult_classic,low_exposure_high_persistence,Modest US gross; durable cult
"Lock, Stock and Two Smoking Barrels",1998,cult_classic,low_exposure_high_persistence,Low budget; Ritchie cult
Trainspotting,1996,cult_classic,low_exposure_high_persistence,Low budget; cultural landmark
Requiem for a Dream,2000,cult_classic,low_exposure_high_persistence,Modest gross; meme/score footprint
Dredd,2012,cult_classic,low_exposure_high_persistence,Box office bomb; home-video cult
Edge of Tomorrow,2014,cult_classic,mixed,Underperformed; strong reappraisal
Blade Runner 2049,2017,commercial_flop,high_budget_low_return,Underperformed vs budget; critically loved
The Nice Guys,2016,cult_classic,low_exposure_high_persistence,Underperformed; comedy cult
Annihilation,2018,cult_classic,low_exposure_high_persistence,Modest; sci-fi cult
Sorry to Bother You,2018,cult_classic,low_exposure_high_persistence,Low budget; cult satire
Swiss Army Man,2016,cult_classic,low_exposure_high_persistence,Low budget; cult oddity
The Lighthouse,2019,cult_classic,low_exposure_high_persistence,Low budget; meme/quote footprint
Mandy,2018,cult_classic,low_exposure_high_persistence,Low budget; Cage cult
Hackers,1995,cult_classic,low_exposure_high_persistence,Flop; tech-nostalgia cult
Empire Records,1995,cult_classic,low_exposure_high_persistence,Flop; '90s cult
Dazed and Confused,1993,cult_classic,low_exposure_high_persistence,Modest; quotable cult
This Is Spinal Tap,1984,cult_classic,low_exposure_high_persistence,Flop; quote/meme classic (goes to 11)
Brazil,1985,cult_classic,low_exposure_high_persistence,Troubled release; dystopia cult
Repo Man,1984,cult_classic,low_exposure_high_persistence,Low budget; cult
Withnail and I,1987,cult_classic,low_exposure_high_persistence,Flop; British cult
A Clockwork Orange,1971,cult_classic,low_exposure_high_persistence,Controversial; canonical (pre-2004 Trends)
Eraserhead,1977,cult_classic,low_exposure_high_persistence,Micro-budget; midnight cult
Harold and Maude,1971,cult_classic,low_exposure_high_persistence,Flop; enduring cult
John Carter,2012,commercial_flop,high_budget_low_return,One of the largest bombs ever
The Lone Ranger,2013,commercial_flop,high_budget_low_return,Major bomb
Cutthroat Island,1995,commercial_flop,high_budget_low_return,Record-setting bomb
Heaven's Gate,1980,commercial_flop,high_budget_low_return,Legendary bomb (pre-2004 Trends)
Waterworld,1995,commercial_flop,high_budget_low_return,Notorious overrun; modest cult
Ishtar,1987,commercial_flop,high_budget_low_return,Iconic flop
Battlefield Earth,2000,commercial_flop,high_budget_low_return,Infamous flop; so-bad cult
The Adventures of Pluto Nash,2002,commercial_flop,high_budget_low_return,One of biggest losses
Mars Needs Moms,2011,commercial_flop,high_budget_low_return,Major animation bomb
Gigli,2003,commercial_flop,high_budget_low_return,Infamous flop
Catwoman,2004,commercial_flop,high_budget_low_return,Critical/commercial bomb
The 13th Warrior,1999,commercial_flop,high_budget_low_return,Costly bomb
Sahara,2005,commercial_flop,high_budget_low_return,High-profile loss
Final Fantasy: The Spirits Within,2001,commercial_flop,high_budget_low_return,Landmark CGI bomb
Speed Racer,2008,commercial_flop,high_budget_low_return,Bomb; later cult
Jupiter Ascending,2015,commercial_flop,high_budget_low_return,Bomb; minor cult
Tomorrowland,2015,commercial_flop,high_budget_low_return,Major loss
The Golden Compass,2007,commercial_flop,high_budget_low_return,Underperformed; franchise killed
Pan,2015,commercial_flop,high_budget_low_return,Major bomb
King Arthur: Legend of the Sword,2017,commercial_flop,high_budget_low_return,Major bomb
Valerian and the City of a Thousand Planets,2017,commercial_flop,high_budget_low_return,Expensive bomb
Ben-Hur,2016,commercial_flop,high_budget_low_return,Remake bomb
Monster Trucks,2016,commercial_flop,high_budget_low_return,Pre-announced write-down
A Wrinkle in Time,2018,commercial_flop,high_budget_low_return,Underperformed
Cats,2019,commercial_flop,high_exposure_low_persistence,Bomb but strong meme footprint
The Happening,2008,commercial_flop,mixed,Critical bomb; meme cult
Green Lantern,2011,commercial_flop,high_budget_low_return,Bomb; running joke
R.I.P.D.,2013,commercial_flop,high_budget_low_return,Major loss
47 Ronin,2013,commercial_flop,high_budget_low_return,Major loss
Dark Phoenix,2019,commercial_flop,high_budget_low_return,Franchise-ending bomb
Terminator: Dark Fate,2019,commercial_flop,high_budget_low_return,Major loss
Solo: A Star Wars Story,2018,commercial_flop,high_budget_low_return,Underperformed Star Wars
Babylon,2022,commercial_flop,high_budget_low_return,Awards-season bomb
Amsterdam,2022,commercial_flop,high_budget_low_return,Major loss
Strange World,2022,commercial_flop,high_budget_low_return,Disney bomb
The Marvels,2023,commercial_flop,high_budget_low_return,Lowest-grossing MCU
Mortal Engines,2018,commercial_flop,high_budget_low_return,Major bomb
Robin Hood,2018,commercial_flop,high_budget_low_return,Bomb
The Nutcracker and the Four Realms,2018,commercial_flop,high_budget_low_return,Underperformed
Cleopatra,1963,commercial_flop,high_budget_low_return,Historic near-bankruptcy bomb (pre-2004 Trends)
The Blair Witch Project,1999,low_budget_hit,low_exposure_high_persistence,Micro-budget phenomenon
Paranormal Activity,2007,low_budget_hit,low_exposure_high_persistence,Micro-budget phenomenon
Once,2007,low_budget_hit,low_exposure_high_persistence,Micro-budget; Oscar song
Little Miss Sunshine,2006,low_budget_hit,low_exposure_high_persistence,Low budget; durable
Juno,2007,low_budget_hit,low_exposure_high_persistence,Low budget; quotable
Get Out,2017,low_budget_hit,low_exposure_high_persistence,Low budget; cultural landmark/meme
Hereditary,2018,low_budget_hit,low_exposure_high_persistence,Low budget; horror cult
The Witch,2015,low_budget_hit,low_exposure_high_persistence,Low budget; cult horror
It Follows,2014,low_budget_hit,low_exposure_high_persistence,Low budget; cult horror
Whiplash,2014,low_budget_hit,low_exposure_high_persistence,Low budget; meme/quote footprint
Ex Machina,2014,low_budget_hit,low_exposure_high_persistence,Low budget; sci-fi cult
Lady Bird,2017,low_budget_hit,low_exposure_high_persistence,Low budget; acclaimed
Moonlight,2016,low_budget_hit,low_exposure_high_persistence,Low budget; Best Picture
The Florida Project,2017,low_budget_hit,low_exposure_high_persistence,Low budget; acclaimed
Tangerine,2015,low_budget_hit,low_exposure_high_persistence,Shot on iPhone; cult
Eighth Grade,2018,low_budget_hit,low_exposure_high_persistence,Low budget; acclaimed
Saw,2004,low_budget_hit,low_exposure_high_persistence,Low budget; horror franchise seed
Open Water,2003,low_budget_hit,low_exposure_high_persistence,Micro-budget; sleeper
Chronicle,2012,low_budget_hit,low_exposure_high_persistence,Low budget; found-footage hit
District 9,2009,low_budget_hit,low_exposure_high_persistence,Modest budget; sci-fi footprint
Looper,2012,low_budget_hit,low_exposure_high_persistence,Modest; sci-fi cult
Brick,2005,low_budget_hit,low_exposure_high_persistence,Low budget; neo-noir cult
The Babadook,2014,low_budget_hit,low_exposure_high_persistence,Low budget; horror+meme
A Ghost Story,2017,low_budget_hit,low_exposure_high_persistence,Micro-budget; arthouse cult
Frances Ha,2012,low_budget_hit,low_exposure_high_persistence,Low budget; cult
500 Days of Summer,2009,low_budget_hit,low_exposure_high_persistence,Low budget; durable rom
Lost in Translation,2003,low_budget_hit,low_exposure_high_persistence,Low budget; modern classic
Garden State,2004,cult_classic,low_exposure_high_persistence,Low budget; 2000s cult
Booksmart,2019,low_budget_hit,low_exposure_high_persistence,Underperformed; comedy cult
Uncut Gems,2019,low_budget_hit,low_exposure_high_persistence,Modest; intense cult/meme
Good Time,2017,low_budget_hit,low_exposure_high_persistence,Low budget; cult
The Lobster,2015,niche_arthouse,low_exposure_high_persistence,Modest; absurdist cult
Amelie,2001,niche_arthouse,low_exposure_high_persistence,Foreign hit; durable footprint
Oldboy,2003,niche_arthouse,low_exposure_high_persistence,Korean cult landmark
Pan's Labyrinth,2006,niche_arthouse,low_exposure_high_persistence,Foreign; acclaimed/quoted
City of God,2002,niche_arthouse,low_exposure_high_persistence,Foreign; canonical
Akira,1988,niche_arthouse,low_exposure_high_persistence,Anime landmark (pre-2004 Trends)
Princess Mononoke,1997,niche_arthouse,low_exposure_high_persistence,Ghibli; durable
Drive,2011,cult_classic,low_exposure_high_persistence,Modest; aesthetic/meme cult
